id,listing_number,host_id,host_name,city,price_clean,estimated_revenue,customer_count_num,total_reviewers_number,room_type,price,host_certification,host_response_rate_pct,host_acceptance_rate_pct,bathrooms_num,bedrooms_num,beds_num,accommodates_num,reply_time_category,area,guest_favourite
27221,1,22641272,Dor,Berlin,86,0,0,254,Private Room,86,1,1,1,1,1,1,3,Unknown,Europe,0
27223,5,22675898,Rolf-Dieter,Berlin,60,0,0,9,Hotel Room,60,1,0,0,1,1,1,1,Unknown,Europe,0
27224,2,22746819,Agnes,Berlin,69,0,0,294,Private Room,69,1,1,1,1,1,1,2,Unknown,Europe,1
27225,1,22767895,Fabio,Berlin,141,0,0,0,Hotel Room,141,1,0,0,1,1,1,4,Unknown,Europe,0
27226,3,939361,Wolfram,Berlin,115,0,0,45,Hotel Room,115,1,1,1,1,2,4,4,Unknown,Europe,0
27227,1,22890596,Philipp,Berlin,60,0,0,86,Hotel Room,60,1,0,1,1,1,1,1,Unknown,Europe,0
27228,1,22921132,Tatjana,Berlin,55,0,0,11,Private Room,55,1,1,0.71204387,1,1,1,1,Unknown,Europe,0
27229,2,22947090,Cecilia,Berlin,190,0,0,238,Hotel Room,190,1,0.817240899,0.71204387,1,1,2,2,Unknown,Europe,0
27230,1,22693048,Saido,Berlin,95,0,0,104,Hotel Room,95,1,0,0,1,1,1,2,Unknown,Europe,0
27231,7,23042311,Mia,Berlin,190,0,0,244,Hotel Room,190,1,1,1,1,2,3,6,Unknown,Europe,0
27232,2,12559165,Thomas,Berlin,75,0,0,43,Hotel Room,75,1,0.817240899,0,1,1,1,2,Unknown,Europe,0
27233,1,23155049,Brit,Berlin,85,0,0,262,Hotel Room,85,1,1,1,1,1,3,2,Unknown,Europe,0
27235,1,23323051,Matthias,Berlin,80,0,0,0,Hotel Room,80,0,0,1,1,2,2,2,Unknown,Europe,0
27236,4,1511346,Ulf-Gunnar,Berlin,85,0,0,76,Private Room,85,1,1,0.71204387,1,1,1,2,Unknown,Europe,0
27237,1,14358563,Stefano,Berlin,62,0,0,41,Private Room,62,1,1,0.71204387,1,0,0,1,Unknown,Europe,1
27239,1,23643175,Till,Berlin,79,0,0,92,Private Room,79,1,1,0.71204387,1,0,1,1,Unknown,Europe,1
